persistence_threshold,incompleteness_threshold,better_gap_threshold_min,n_diagnostic_histories,diagnostic_share_cond_better,denominator_better_alt_histories,post_persistence_source,source_path
0.5,0.25,0.5,753,0.5448625180897251,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.25,1.0,753,0.5448625180897251,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.25,2.0,321,0.23227206946454415,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.5,0.5,654,0.4732272069464544,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.5,1.0,654,0.4732272069464544,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.5,2.0,289,0.20911722141823444,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.66,0.5,401,0.2901591895803184,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.66,1.0,401,0.2901591895803184,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.66,2.0,190,0.13748191027496381,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.75,0.5,247,0.17872648335745298,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.75,1.0,247,0.17872648335745298,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.5,0.75,2.0,122,0.08827785817655572,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.25,0.5,493,0.35672937771345875,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.25,1.0,493,0.35672937771345875,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.25,2.0,199,0.14399421128798842,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.5,0.5,433,0.3133140376266281,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.5,1.0,433,0.3133140376266281,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.5,2.0,182,0.1316931982633864,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.66,0.5,288,0.20839363241678727,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.66,1.0,288,0.20839363241678727,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.66,2.0,125,0.09044862518089725,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.75,0.5,192,0.1389290882778582,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.75,1.0,192,0.1389290882778582,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.6,0.75,2.0,89,0.06439942112879884,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.25,0.5,297,0.21490593342981187,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.25,1.0,297,0.21490593342981187,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.25,2.0,104,0.07525325615050651,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.5,0.5,262,0.18958031837916064,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.5,1.0,262,0.18958031837916064,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.5,2.0,97,0.07018813314037627,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.66,0.5,186,0.1345875542691751,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.66,1.0,186,0.1345875542691751,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.66,2.0,69,0.049927641099855286,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.75,0.5,138,0.09985528219971057,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.75,1.0,138,0.09985528219971057,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
0.7,0.75,2.0,57,0.04124457308248915,1382,post_incumbent_share,Results_Porto_V12\q1_tables_v6\v6_history_event_measures.csv
